year,number,song,artist,semanas
2015,25,La Mordidita,Ricky Martin feat Yotuel,"28 Semanas en lista
1x"
2015,26,Where Are Ü Now (feat Justin Bieber),Skrillex and Diplo,"43 Semanas en lista
1x"
2015,27,Hey Mama,David Guetta feat. Nicki Minaj & Afrojack,"36 Semanas en lista
1x"
2015,28,Ain`t Nobody (Loves Me Better),Felix Jaehn feat Jasmine Thompson,"30 Semanas en lista
1x"
2015,29,Por Fin Te Encontré,Cali Y El Dandee feat Juan Magan & Sebastian Yatra,"14 Semanas en lista
1x"
2015,30,Sorry,Justin Bieber,"10 Semanas en lista
1x"
2015,31,Ay Vamos,J Balvin,"50 Semanas en lista
1x"
2015,32,Take Me To Church,Hozier,"44 Semanas en lista
1x"
2015,33,Piensas (Dile la Verdad),Pitbull Feat. Gente de Zona,"49 Semanas en lista
1x"
2015,34,LA CONOCÍ BAILANDO,DR. BELLIDO feat. K-NARIAS,"51 Semanas en lista
1x"
2015,35,Outside,Calvin Harris feat. Ellie Goulding,"44 Semanas en lista
1x"
2015,36,Dangerous feat. Sam Martin,David Guetta,"44 Semanas en lista
1x"
2015,37,Chandelier,SIA,"65 Semanas en lista
1x"
2015,38,Earned It (Fifty Shades of Grey),The Weeknd,"39 Semanas en lista
1x"
2015,39,Waiting For Love,Avicii,"32 Semanas en lista
1x"
2015,40,How Deep Is Your Love,Calvin Harris & Disciples,"24 Semanas en lista
1x"
2015,41,Fanatica Sensual,Plan B,"34 Semanas en lista
1x"
2015,42,GDFR (feat. Sage The Gemini & Lookas),Flo Rida,"35 Semanas en lista
1x"
2015,43,6 AM,J Balvin / Farruko,"55 Semanas en lista
1x"
2015,44,Me voy enamorando (Remix),Chino & Nacho / Farruko,"34 Semanas en lista
1x"
2015,45,Can`t Feel My Face,The Weeknd,"27 Semanas en lista
1x"
2015,46,Bandida,Danny Romero feat Maluma,"36 Semanas en lista
1x"
2015,47,Hello,Adele,"10 Semanas en lista
1x"
2015,48,Perdido en tus ojos,Don Omar feat. Natti Natasha,"38 Semanas en lista
1x"
2015,49,Five More Hours,"Deorro, Chris Brown","41 Semanas en lista
1x"
2015,50,Tocado y hundido,Melendi,"44 Semanas en lista
1x"
2015,51,Stay With Me,Sam Smith,"47 Semanas en lista
1x"
2015,52,Elastic Heart,SIA,"33 Semanas en lista
1x"
2015,53,I`m an Albatraoz,AronChupa,"38 Semanas en lista
1x"
2015,54,Muevelo,Sofia Reyes Feat. Wisin,"35 Semanas en lista
1x"
2015,55,El Mismo Sol,Alvaro Soler,"19 Semanas en lista
1x"
2015,56,The Nights,Avicii,"34 Semanas en lista
1x"
2015,57,Mi verdad feat Shakira,MANA,"37 Semanas en lista
1x"
2015,58,Time Of Our Lives,"Ne-Yo, Pitbull","35 Semanas en lista
1x"
2015,59,Lejos de Aquí (Remix Yandel),Farruko,"42 Semanas en lista
1x"
